source,title,url,published,sentiment,confidence,positive_score,negative_score,neutral_score,chunks_analyzed
Express Tribune,Retailers on tax net jump 31%,https://tribune.com.pk/story/2626437/retailers-on-tax-net-jump-31,2026-08-30T09:44:02+05:00,neutral,0.4562,0.3827,0.1611,0.4562,6
Express Tribune,New policies to promote local manufacturing,https://tribune.com.pk/story/2626440/new-policies-to-promote-local-manufacturing,2026-08-30T09:44:40+05:00,neutral,0.5447,0.4145,0.0408,0.5447,4
Express Tribune,Meeting reviews Asaan Tax Scheme application,https://tribune.com.pk/story/2626443/meeting-reviews-asaan-tax-scheme-application,2026-08-30T09:45:40+05:00,neutral,0.8988,0.0783,0.0229,0.8988,3
Express Tribune,Energy policy predictability sought,https://tribune.com.pk/story/2626438/energy-policy-predictability-sought,2026-08-30T09:46:32+05:00,positive,0.5213,0.5213,0.0195,0.4592,3
Express Tribune,Semiconductor training programme launched,https://tribune.com.pk/story/2626439/semiconductor-training-programme-launched,2026-08-30T09:47:11+05:00,neutral,0.6425,0.3445,0.0129,0.6425,2
Express Tribune,'Seafood exports could reach $2b',https://tribune.com.pk/story/2626441/seafood-exports-could-reach-2b,2026-08-30T09:47:45+05:00,neutral,0.4937,0.47,0.0363,0.4937,2
Express Tribune,PSX registers modest growth,https://tribune.com.pk/story/2626442/psx-registers-modest-growth,2026-08-30T09:48:13+05:00,positive,0.3774,0.3774,0.3679,0.2547,5
Express Tribune,Uganda invites Pakistani investors with 10-year tax holiday,https://tribune.com.pk/story/2626444/uganda-invites-pakistani-investors-with-10-year-tax-holiday,2026-08-30T09:48:44+05:00,neutral,0.5499,0.4351,0.015,0.5499,3
Express Tribune,"PSX edges up, stalls below 178,000",https://tribune.com.pk/story/2626332/psx-edges-up-stalls-below-178000,2026-08-29T10:15:49+05:00,neutral,0.416,0.2592,0.3248,0.416,4
Express Tribune,SCCI sends third trade mission in one month,https://tribune.com.pk/story/2626446/scci-sends-third-trade-mission-in-one-month,2026-08-30T09:50:19+05:00,neutral,0.5284,0.4368,0.0348,0.5284,2
Express Tribune,Temasek backs SIA's Air India bet,https://tribune.com.pk/story/2626445/temasek-backs-sias-air-india-bet,2026-08-30T09:49:24+05:00,neutral,0.509,0.0486,0.4424,0.509,4
Express Tribune,Sindh seeks Hidan Block rights,https://tribune.com.pk/story/2626326/sindh-seeks-hidan-block-rights,2026-08-29T10:12:08+05:00,neutral,0.6104,0.3632,0.0264,0.6104,3
Express Tribune,Govt pledges energy sector modernisation,https://tribune.com.pk/story/2626333/govt-pledges-energy-sector-modernisation,2026-08-29T10:16:26+05:00,positive,0.7467,0.7467,0.0093,0.244,2
Express Tribune,MPs warn against long-term energy contracts,https://tribune.com.pk/story/2626132/mps-warn-against-long-term-energy-contracts,2026-08-28T10:10:52+05:00,neutral,0.7457,0.2349,0.0194,0.7457,4
Express Tribune,Telcos seek grid upgrades for 5G rollout,https://tribune.com.pk/story/2626128/telcos-seek-grid-upgrades-for-5g-rollout,2026-08-28T10:08:25+05:00,neutral,0.5276,0.427,0.0454,0.5276,3
Profit Pakistan Today,"Business confidence declines in Pakistan as costs rise, outlook weakens: survey",https://profit.pakistantoday.com.pk/2026/04/23/business-confidence-declines-in-pakistan-as-costs-rise-outlook-weakens-survey,2026-04-23T07:03:22.000Z,negative,0.6531,0.0246,0.6531,0.3223,3
Profit Pakistan Today,"Pakistan business leaders welcome US-Iran ceasefire, see energy, trade opportunities",https://profit.pakistantoday.com.pk/2026/04/09/pakistan-business-leaders-welcome-us-iran-ceasefire-see-energy-trade-opportunities,2026-04-09T09:10:50.000Z,positive,0.5309,0.5309,0.0113,0.4578,2
Profit Pakistan Today,"Pakistan’s business confidence rises as OICCI survey shows broad recovery, shift to AI",https://profit.pakistantoday.com.pk/2025/12/04/pakistans-business-confidence-rises-as-oicci-survey-shows-broad-recovery-shift-to-ai,2025-12-04T05:20:20.000Z,positive,0.6535,0.6535,0.0199,0.3266,3
Profit Pakistan Today,"Over 600 Pakistani firms register with China, expanding trade presence",https://profit.pakistantoday.com.pk/2025/10/10/over-600-pakistani-firms-register-with-china-expanding-trade-presence,2025-10-10T03:28:00.000Z,positive,0.8039,0.8039,0.0107,0.1855,2
Profit Pakistan Today,Pakistan to introduce new licensing policy for bilateral business chambers,https://profit.pakistantoday.com.pk/2025/10/09/pakistan-to-introduce-new-licensing-policy-for-bilateral-business-chambers,2025-10-09T05:46:49.000Z,neutral,0.8552,0.1332,0.0116,0.8552,3
